index,PHECODE,PHENOTYPE,STR,SAB,CODE,TFIDF,voca_concept
301251,250.2,Type 2 diabetes,Type 2 diabetes mellitus with foot ulcer,ICD10CM,E11.621,31.200681044917893,ICD10CM:E11.621
301233,250.2,Type 2 diabetes,Type 2 diabetes mellitus with other diabetic kidney complication,ICD10CM,E11.29,31.200681044917893,ICD10CM:E11.29
301242,250.2,Type 2 diabetes,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,ICD10CM,E11.51,31.200681044917893,ICD10CM:E11.51
301241,250.2,Type 2 diabetes,Type 2 diabetes mellitus with circulatory complications,ICD10CM,E11.5,31.200681044917893,ICD10CM:E11.5
301240,250.2,Type 2 diabetes,Type 2 diabetes mellitus with other diabetic neurological complication,ICD10CM,E11.49,31.200681044917893,ICD10CM:E11.49
301239,250.2,Type 2 diabetes,Type 2 diabetes mellitus with diabetic amyotrophy,ICD10CM,E11.44,31.200681044917893,ICD10CM:E11.44
301238,250.2,Type 2 diabetes,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,ICD10CM,E11.43,31.200681044917893,ICD10CM:E11.43
301237,250.2,Type 2 diabetes,Type 2 diabetes mellitus with diabetic polyneuropathy,ICD10CM,E11.42,31.200681044917893,ICD10CM:E11.42
301236,250.2,Type 2 diabetes,Type 2 diabetes mellitus with diabetic mononeuropathy,ICD10CM,E11.41,31.200681044917893,ICD10CM:E11.41
301235,250.2,Type 2 diabetes,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",ICD10CM,E11.40,31.200681044917893,ICD10CM:E11.40
301234,250.2,Type 2 diabetes,Type 2 diabetes mellitus with neurological complications,ICD10CM,E11.4,31.200681044917893,ICD10CM:E11.4
301232,250.2,Type 2 diabetes,Type 2 diabetes mellitus with diabetic chronic kidney disease,ICD10CM,E11.22,31.200681044917893,ICD10CM:E11.22
301244,250.2,Type 2 diabetes,Type 2 diabetes mellitus with other circulatory complications,ICD10CM,E11.59,31.200681044917893,ICD10CM:E11.59
301231,250.2,Type 2 diabetes,Type 2 diabetes mellitus with diabetic nephropathy,ICD10CM,E11.21,31.200681044917893,ICD10CM:E11.21
301230,250.2,Type 2 diabetes,Type 2 diabetes mellitus with kidney complications,ICD10CM,E11.2,31.200681044917893,ICD10CM:E11.2
