index,PHECODE,PHENOTYPE,STR,SAB,CODE,TFIDF,voca_concept
1224805,290.1,Dementias,Vascular dementia with delirium,ICD9CM,290.41,50.52752803711364,ICD9CM:290.41
105994,290.1,Dementias,Dementia in other diseases classified elsewhere,ICD10CM,F02.8,50.52752803711364,ICD10CM:F02.8
106062,290.1,Dementias,Pick's disease,ICD10CM,G31.01,50.52752803711364,ICD10CM:G31.01
106063,290.1,Dementias,Other frontotemporal dementia,ICD10CM,G31.09,50.52752803711364,ICD10CM:G31.09
106064,290.1,Dementias,"Senile degeneration of brain, not elsewhere classified",ICD10CM,G31.1,50.52752803711364,ICD10CM:G31.1
106000,290.1,Dementias,Unspecified dementia with behavioral disturbance,ICD10CM,F03.91,50.52752803711364,ICD10CM:F03.91
105999,290.1,Dementias,Dementia NOS,ICD10CM,F03.90,50.52752803711364,ICD10CM:F03.90
105998,290.1,Dementias,Unspecified dementia,ICD10CM,F03.9,50.52752803711364,ICD10CM:F03.9
105997,290.1,Dementias,Unspecified dementia,ICD10CM,F03,50.52752803711364,ICD10CM:F03
105996,290.1,Dementias,Dementia in other diseases classified elsewhere with behavioral disturbance,ICD10CM,F02.81,50.52752803711364,ICD10CM:F02.81
105995,290.1,Dementias,Dementia in other diseases classified elsewhere without behavioral disturbance,ICD10CM,F02.80,50.52752803711364,ICD10CM:F02.80
105993,290.1,Dementias,Dementia in other diseases classified elsewhere,ICD10CM,F02,50.52752803711364,ICD10CM:F02
106060,290.1,Dementias,"Alzheimer's disease, unspecified",ICD10CM,G30.9,50.52752803711364,ICD10CM:G30.9
105992,290.1,Dementias,Vascular dementia with behavioral disturbance,ICD10CM,F01.51,50.52752803711364,ICD10CM:F01.51
105991,290.1,Dementias,Vascular dementia without behavioral disturbance,ICD10CM,F01.50,50.52752803711364,ICD10CM:F01.50
105990,290.1,Dementias,Vascular dementia,ICD10CM,F01.5,50.52752803711364,ICD10CM:F01.5
105989,290.1,Dementias,Vascular dementia,ICD10CM,F01,50.52752803711364,ICD10CM:F01
106065,290.1,Dementias,Dementia with Lewy bodies,ICD10CM,G31.83,50.52752803711364,ICD10CM:G31.83
106061,290.1,Dementias,Frontotemporal dementia,ICD10CM,G31.0,50.52752803711364,ICD10CM:G31.0
106059,290.1,Dementias,Other Alzheimer's disease,ICD10CM,G30.8,50.52752803711364,ICD10CM:G30.8
1224816,290.1,Dementias,Dementia in conditions classified elsewhere,ICD9CM,294.1,50.52752803711364,ICD9CM:294.1
1224800,290.1,Dementias,Senile dementia with delusional features,ICD9CM,290.20,50.52752803711364,ICD9CM:290.20
1224806,290.1,Dementias,Vascular dementia with delusions,ICD9CM,290.42,50.52752803711364,ICD9CM:290.42
1358956,290.1,Dementias,Dementia,SNOMEDCT_US,52448006,50.52752803711364,SNOMEDCT_US:52448006
1224804,290.1,Dementias,"Vascular dementia, uncomplicated",ICD9CM,290.40,50.52752803711364,ICD9CM:290.40
106056,290.1,Dementias,Alzheimer's disease,ICD10CM,G30,50.52752803711364,ICD10CM:G30
1224803,290.1,Dementias,Vascular dementia,ICD9CM,290.4,50.52752803711364,ICD9CM:290.4
1224802,290.1,Dementias,Senile dementia with delirium,ICD9CM,290.3,50.52752803711364,ICD9CM:290.3
1224801,290.1,Dementias,Senile dementia with depressive features,ICD9CM,290.21,50.52752803711364,ICD9CM:290.21
1224799,290.1,Dementias,Senile dementia with delusional or depressive features,ICD9CM,290.2,50.52752803711364,ICD9CM:290.2
106058,290.1,Dementias,Alzheimer's disease with late onset,ICD10CM,G30.1,50.52752803711364,ICD10CM:G30.1
1224798,290.1,Dementias,Presenile dementia with depressive features,ICD9CM,290.13,50.52752803711364,ICD9CM:290.13
1224797,290.1,Dementias,Presenile dementia with delusional features,ICD9CM,290.12,50.52752803711364,ICD9CM:290.12
1224796,290.1,Dementias,Presenile dementia with delirium,ICD9CM,290.11,50.52752803711364,ICD9CM:290.11
1224795,290.1,Dementias,"Presenile dementia, uncomplicated",ICD9CM,290.10,50.52752803711364,ICD9CM:290.10
1224794,290.1,Dementias,Presenile dementia,ICD9CM,290.1,50.52752803711364,ICD9CM:290.1
1224793,290.1,Dementias,Dementias **,ICD9CM,290.00,50.52752803711364,ICD9CM:290.00
1224792,290.1,Dementias,"Senile dementia, uncomplicated",ICD9CM,290.0,50.52752803711364,ICD9CM:290.0
106057,290.1,Dementias,Alzheimer's disease with early onset,ICD10CM,G30.0,50.52752803711364,ICD10CM:G30.0
1224807,290.1,Dementias,Vascular dementia with depressed mood,ICD9CM,290.43,50.52752803711364,ICD9CM:290.43
1358901,290.1,Dementias,[X]Unspecified dementia,SNOMEDCT_US,268675002,50.52752803711364,SNOMEDCT_US:268675002
1224862,290.1,Dementias,Dementia w Lewy bodies,ICD9CM,331.82,50.52752803711364,ICD9CM:331.82
1358710,290.1,Dementias,Dementia,LNC,20372-1,50.52752803711364,LNC:20372-1
1358852,290.1,Dementias,[X] Primary degenerative dementia NOS,SNOMEDCT_US,192180006,50.52752803711364,SNOMEDCT_US:192180006
1224853,290.1,Dementias,Alzheimer's disease,ICD9CM,331.0,50.52752803711364,ICD9CM:331.0
1224854,290.1,Dementias,Alzheimer's disease **,ICD9CM,331.00,50.52752803711364,ICD9CM:331.00
1224821,290.1,Dementias,"Dementia, unspecified, with behavioral disturbance",ICD9CM,294.21,50.52752803711364,ICD9CM:294.21
